sessionId,participantId,feedbackScope,source,paperKey,paperTitle,highlightCondition,questionId,questionPrompt,responseText,submittedAt,sessionCreatedAt,sessionCompletedAt,sessionFile
-w3AvKVnaBWV,P01,final,final_questionnaire,,,,fq_like_most_least,What did you like most or least about the highlighting system?,I wasn't sure if highlights were giving me new information.,,2026-04-09T23:15:19.177Z,2026-04-09T23:48:20.631Z,-w3AvKVnaBWV.json
-w3AvKVnaBWV,P01,paper,paper_questionnaire,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,all_highlights,p5comments,Any comments about reading this paper?,Some of the questions weren't phrased very well.,2026-04-09T23:35:22.509Z,2026-04-09T23:15:19.177Z,2026-04-09T23:48:20.631Z,-w3AvKVnaBWV.json
VvVFmWCnsBh9,P02,final,final_questionnaire,,,,fq_like_most_least,What did you like most or least about the highlighting system?,"The highlights were helpful but I was uncertain how ""New"" information was supposed to be presented or what is considered new information.",,2026-04-13T11:47:26.118Z,2026-04-13T12:26:51.662Z,VvVFmWCnsBh9.json
zrekyLviaI_R,P03,final,final_questionnaire,,,,fq_like_most_least,What did you like most or least about the highlighting system?,Unsure how I was expected to know whats considerd new or repeated information from the highlights alone,,2026-04-12T23:36:34.267Z,2026-04-13T00:16:02.884Z,zrekyLviaI_R.json
zrekyLviaI_R,P03,final,final_questionnaire,,,,fq_missing_confusing_unnecessary,"Is there anything that felt missing, confusing, or unnecessary?",some of the questions were easy whereas other required a lot more thinking. Felt difficulty wasn't adequately balanced.,,2026-04-12T23:36:34.267Z,2026-04-13T00:16:02.884Z,zrekyLviaI_R.json
zrekyLviaI_R,P03,paper,paper_questionnaire,paper6,Is it harmful or helpful? Examining the causes and consequences of generative AI usage among university students,contextual_highlights,p6comments,Any comments about reading this paper?,Question about dropping items was too hard. Felt I had inadequate time or ability to answer the question at all.,2026-04-13T00:10:58.771Z,2026-04-12T23:36:34.267Z,2026-04-13T00:16:02.884Z,zrekyLviaI_R.json
2FvA4lMHIGC6,P04,final,final_questionnaire,,,,fq_like_most_least,What did you like most or least about the highlighting system?,I think the embedded highlights was a huge help in helping to identify initial areas of the paper to focus on.,,2026-04-08T20:17:42.931Z,2026-04-08T21:01:53.884Z,2FvA4lMHIGC6.json
2FvA4lMHIGC6,P04,final,final_questionnaire,,,,fq_missing_confusing_unnecessary,"Is there anything that felt missing, confusing, or unnecessary?","For some questions, I think the implied answers were a bit hidden in the text and required a bit deeper of an investigation than just a brief skim to find the right answer",,2026-04-08T20:17:42.931Z,2026-04-08T21:01:53.884Z,2FvA4lMHIGC6.json
2FvA4lMHIGC6,P04,paper,paper_questionnaire,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,no_highlights,p5comments,Any comments about reading this paper?,hard to finish in allocate timeslot,2026-04-08T20:30:12.448Z,2026-04-08T20:17:42.931Z,2026-04-08T21:01:53.884Z,2FvA4lMHIGC6.json
2FvA4lMHIGC6,P04,paper,paper_questionnaire,paper6,Is it harmful or helpful? Examining the causes and consequences of generative AI usage among university students,all_highlights,p6comments,Any comments about reading this paper?,easier to find key words from the questions in the text,2026-04-08T20:42:59.771Z,2026-04-08T20:17:42.931Z,2026-04-08T21:01:53.884Z,2FvA4lMHIGC6.json
