sessionId,participantId,paperKey,paperTitle,condition,orderPosition,startedAt,completedAt,paper_duration_seconds,mc_total_questions,mc_first_attempt_correct_count,mc_first_attempt_accuracy,mc_total_submissions,mc_total_wrong_before_correct,free_text_possible,free_text_scored_count,free_text_score,paper_total_score,avg_question_difficulty_all,avg_question_difficulty_mc,avg_question_difficulty_free_text,ease_rating,paper_comments
-w3AvKVnaBWV,P01,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,2026-04-09T23:15:34.737000,2026-04-09T23:25:04.031000,569,5,1,0.2,5,8,5,5,4,5,3.2,,,3.0,
-w3AvKVnaBWV,P01,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,all_highlights,2,2026-04-09T23:25:36.492000,2026-04-09T23:35:02.861000,566,5,3,0.6,3,3,5,5,3,6,4.0,,,4.0,Some of the questions weren't phrased very well.
-w3AvKVnaBWV,P01,paper6,Is it harmful or helpful? Examining the causes and consequences of generative AIusage among university students,contextual_highlights,3,2026-04-09T23:35:44.757000,2026-04-09T23:45:18.453000,573,5,2,0.4,3,5,5,5,5,7,3.6,,,4.0,
1Y5j3zzSLiPn,P23,paper6,Is it harmful or helpful? Examining the causes and consequences of generative AIusage among university students,all_highlights,1,2026-04-09T23:01:13.286000,2026-04-09T23:10:47.593000,574,5,5,1.0,1,0,5,5,5,10,1.3,,,2.0,pretty easy to follow the highlights and answer the questions
1Y5j3zzSLiPn,P23,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,2,2026-04-09T23:13:41.917000,2026-04-09T23:23:09.104000,567,5,4,0.8,2,1,5,5,4,8,1.4,,,2.0,pretty smooth experience overall with this paper reading too
1Y5j3zzSLiPn,P23,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,contextual_highlights,3,2026-04-09T23:26:58.441000,2026-04-09T23:36:22.768000,564,5,5,1.0,1,0,5,5,5,10,1.9,,,2.0,Similar to the last paper the highlights were easy to follow and there were very little periods of confusion
2-YjQNYBYBqC,P13,paper4,The Impact of Generative AI on Critical Thinking:Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,no_highlights,1,2026-04-09T21:49:31.245000,2026-04-09T21:58:57.882000,566,5,4,0.8,2,1,5,5,4,8,1.9,,,2.0,
2-YjQNYBYBqC,P13,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,all_highlights,2,2026-04-09T22:02:18.917000,2026-04-09T22:11:36.771000,557,5,3,0.6,2,2,5,5,3,6,3.2,,,3.0,Some of the highlights made it hard to read the texts. Maybe consider using lower saturated color selections.
2-YjQNYBYBqC,P13,paper6,Is it harmful or helpful? Examining the causes and consequences of generative AIusage among university students,contextual_highlights,3,2026-04-09T22:15:44.603000,2026-04-09T22:25:02.458000,557,5,3,0.6,2,2,5,5,5,8,3.0,,,3.0,n/a
2FvA4lMHIGC6,P04,paper5,A Meta-Analysis of the Utility of Explainable Artificial Intelligence in Human-AI Decision-Making,no_highlights,1,2026-04-08T20:19:11.284000,2026-04-08T20:28:46.512000,575,5,3,0.6,3,3,5,5,5,8,3.2,,,4.0,hard to finish in allocate timeslot
